DevNo,Mat#,Material_Name,Customer,Assigned,Created,Closed,Class,Archive
DV160183,10043374,CONT 1L BTL WHITE AG-CHEM L3 AU ,FMC,Gokila Rajaram,28/11/2016,,Not Assigned,Open
DV170010,10060841,ROVRAL AQUAFLO SC500 5L BOT#AU#BGK,FMC,Daniel Poulson,03/02/2017,,Customer Complaint,Open
DV170012,60989,HomeGuard White TMB Termite Moisture Barrier,FMC,Daniel Poulson,15/02/2017,,Out of Specification,Open
DV170013,60989,HomeGuard White TMB Termite Moisture Barrier,FMC,Daniel Poulson,15/02/2017,,Not Assigned,Open
DV170015,60678,Biflex AquaMax,FMC,Daniel Poulson,16/02/2017,,Customer Complaint,Open
DV170020,10030408, RUSTLER 8350 1000L MO AU,FMC,Daniel Poulson,22/02/2017,,Stock Discrepancy,Open
DV170021,10064842,ROVRAL LIQUID S/D FS250 20L DRM#WYONG#AU,FMC,Daniel Poulson,22/02/2017,,Other,Open
DV170022,10030408, RUSTLER 8350 1000L MO AU,FMC,Daniel Poulson,02/03/2017,,Stock Discrepancy,Open
DV170023,10061298,Affinity Force 240EW 4L,FMC,Daniel Poulson,02/03/2017,,Not Assigned,Open
DV170024,60678,Biflex AquaMax,FMC,Daniel Poulson,03/03/2017,,Not Assigned,Open
DV170025,10040266,BIFLEX ULTRA 4X5L AU FMC,FMC,Daniel Poulson,03/03/2017,,Customer Complaint,Open
